SampleID,size,site,PCT_major,PCT_minor,condition,condition_attribute
ALR_2,large,ALR,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
ALR_3,large,ALR,Woollybutt - White Stringybark - Forest Red Gum ,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
ALR_4,large,ALR,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
ALR_5,large,ALR,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
ALR_6,large,ALR,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
BBR_2,large,BBR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,VH1
BBR_3,large,BBR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,VH1
BBR_4,large,BBR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,VH1
BBR_5,large,BBR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,VH1
BBR_6,large,BBR,Woollybutt - White Stringybark - Forest Red Gum,Forest Red Gum - Thin-leaved Stringybark,High or very high,VH1
CRM_1,large,CRM,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,High or very high,H2
CRM_2,large,CRM,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,High or very high,H2
CRM_3,large,CRM,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,High or very high,H2
CRM_4,large,CRM,Woollybutt - White Stringybark - Forest Red Gum,Forest Red Gum - Thin-leaved Stringybark,Mod,M1
CRM_6,large,CRM,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,High or very high,H2
CSP_1,small,CSP,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,H2
HGA_1,medium,HGA,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
HGA_2,medium,HGA,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
HGA_3,medium,HGA,Woollybutt - White Stringybark - Forest Red Gum,Woollybutt - White Stringybark - Forest Red Gum,Mod,M4
MCP_1,small,MCP,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,Mod,H2
PAP_1,small,PAP,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,Mod,M1
RGR_1,medium,RGR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,Mod,M4
RGR_2,medium,RGR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,Mod,M4
RGR_3,medium,RGR,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,Mod,M4
WMP_2,medium,WMP,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,M1
WMP_3,medium,WMP,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,M1
WMP_4,medium,WMP,Forest Red Gum - Thin-leaved Stringybark,Forest Red Gum - Thin-leaved Stringybark,High or very high,M1
