date,site_id,point_id,obs_id,obs_no,latitude,longitude,datum,species,unconfirmed_species,unconfirmed_id,diagnostic_material,life_stage,cbh_m,dbh_m,new_tip_growth,epicormic_growth,leaf_dieoff,reproductive_behaviour,mistletoe_load,insect_damage,alive,fallen,recent_fire_evidence,forked_at_ground_level,forked_below_ground_level,visibility,notes,,
29/05/25,WMP,WMP_2,WMP_2-1,1,-34.416606,150.882956,WGS84,Eucalyptus pilularis,Eucalyptus pilularis,F,"Bark, habit, fallen fruit",2-,N/A,0.492,2,0,1,0,0,N/A,T,F,F,F,F,sun,Original ID E. saligna x botryoides; subsequently reidentified based on fallen fruit on 18/06/2025 (which calls into question the 0 reproductive behaviour),,
29/05/25,WMP,WMP_2,WMP_2-2,2,-34.416731,150.883,WGS84,Eucalyptus pilularis,Eucalyptus pilularis,F,Not recorded,3,3.46,1.101,1,1,1,1,0,1,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_2,WMP_2-3,3,-34.41659,150.883168,WGS84,Eucalyptus pilularis,Eucalyptus pilularis,F,Not recorded,3,3.4,1.082,2,1,1,2,0,N/A,T,F,F,F,F,sun,Trimmed branch,,
29/05/25,WMP,WMP_2,WMP_2-4,4,-34.416556,150.883126,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,2,N/A,0.320,2,0,1,1,0,1,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_2,WMP_2-5,5,-34.416406,150.883202,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,3,2.4,0.764,1,1,2,2,0,1,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-1,6,-34.4182,150.883288,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,2,N/A,0.650,0,0,2,1,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-2,7,-34.418165,150.883138,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,3,3.36,1.070,2,1,2,2,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-3,8,-34.4181,150.883218,WGS84,N/A,N/A,F,Not recorded,1,N/A,0.015,1,1,0,0,0,2,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-4,9,-34.417975,150.883272,WGS84,N/A,N/A,F,Not recorded,1,N/A,0.031,1,0,0,0,0,1,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-5,10,-34.417974,150.883302,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,2,N/A,0.510,1,0,1,1,0,1,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-6,11,-34.41802,150.883309,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,3,3.37,1.073,1,1,1,2,0,N/A,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-7,12,-34.418039,150.883132,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,3,2.77,0.882,1,1,1,2,0,N/A,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-8,13,-34.41807,150.883156,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,2,1.47,0.468,1,2,1,0,0,N/A,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-9,14,-34.418294,150.883139,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,3,2.25,0.716,1,0,1,1,0,N/A,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-10,15,-34.418327,150.883205,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,2,2.41,0.767,1,0,2,3,0,N/A,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-11,16,-34.418225,150.883298,WGS84,N/A,N/A,F,Not recorded,1,N/A,0.610,1,0,2,0,0,1,T,F,F,F,F,cloud,#suspicious: DBH of 0.61 but life stage of 1,,
29/05/25,WMP,WMP_4,WMP_4-12,17,-34.418344,150.883351,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,2,1.84,0.586,1,1,2,1,0,1,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-13,18,-34.418352,150.883314,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,3,2.09,0.665,1,0,1,3,0,N/A,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-14,19,-34.418332,150.883299,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,1+,N/A,0.130,1,1,2,0,0,1,T,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-15,20,-34.418382,150.883274,WGS84,N/A,N/A,F,Not recorded,3,1.62,0.516,0,0,3,0,0,2,F,F,F,F,F,cloud,,,
29/05/25,WMP,WMP_4,WMP_4-16,21,-34.418151,150.883541,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,2,N/A,0.435,3,2,1,3,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-17,22,-34.418145,150.883543,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,2,1.9,0.605,2,2,1,2,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-18,23,-34.41818,150.883512,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,2,1.99,0.633,2,1,1,3,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-19,24,-34.418111,150.883477,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,3,2.23,0.710,2,1,1,2,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-20,25,-34.418019,150.883508,WGS84,Eucalyptus paniculata,Eucalyptus paniculata,F,Not recorded,3,2.49,0.793,1,1,2,1,0,N/A,T,F,F,F,F,sun,,,
29/05/25,WMP,WMP_4,WMP_4-21,26,-34.417979,150.883438,WGS84,Eucalyptus amplifolia,Eucalyptus amplifolia,F,Not recorded,2,2.03,0.646,0,0,1,2,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-1,27,-34.417819,150.884567,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,Not recorded,2,1.9,0.605,1,1,1,1,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-2,28,-34.41788,150.884532,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,Not recorded,2,1,0.318,2,1,2,1,0,2,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-3,29,-34.417862,150.884518,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,Not recorded,2,2.02,0.643,1,0,1,1,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-4,30,-34.417765,150.884511,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,Not recorded,3,3.42,1.089,1,2,2,1,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-5,31,-34.417765,150.884524,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,Not recorded,2,1.33,0.423,2,1,2,1,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-6,32,-34.417865,150.884398,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,Not recorded,2,2.07,0.659,2,2,1,1,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-7,33,-34.41787,150.884376,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,Not recorded,2,1.42,0.452,0,0,3,0,0,N/A,F,T,F,F,F,sun,Fallen upright,,
31/05/25,WMP,WMP_3,WMP-3-8,34,-34.417795,150.884428,WGS84,Eucalyptus paniculata,Eucalyptus pilularis,T,Not recorded,2,0.73,0.232,2,1,1,1,0,1,T,F,F,F,F,sun,Juvenile,,
31/05/25,WMP,WMP_3,WMP-3-9,35,-34.4178,150.884353,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,Not recorded,3,2.17,0.691,1,2,2,2,0,N/A,T,F,F,F,F,sun,"Unsure if sapling; tall, straight, high crown; prob. pilularis",,
31/05/25,WMP,WMP_3,WMP-3-10,36,-34.417772,150.884375,WGS84,N/A,N/A,F,Not recorded,1+,0.48,0.153,2,0,1,0,0,N/A,T,F,F,F,F,sun,,,
31/05/25,WMP,WMP_3,WMP-3-11,37,-34.417737,150.884424,WGS84,N/A,Eucalyptus globoidea,T,Not recorded,1,0.26,0.083,2,0,2,2,0,1,T,F,F,F,F,sun,prob. globoidea,,
