voucher,collector,trap_id,site_id,trap_no,set_date,set_time,pack_date,pack_time,trapping_duration,location,lat,long,datum,tree_species,branch_bearing,weather,photo_trap_height,measured_trap_height,Coleoptera,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Orthoptera,Psocodea,Thysanoptera,Trichoptera,araneae,other non-insect,unidentified,notes,,
DIMBBR16042025_1,Hunter Diment,BBR_1,BBR,1,16/04/25,09:20,21/04/25,09:40,120.333333333333,"Blackbutt Reserve, Blackbutt",-34.569437,150.851611,WGS84 (Google Maps),E. ampliflolia or tereticornis,60,cloudy,9.7,9.1,3,3,0,1,1,0,0,0,0,1,0,1,1 beetle damaged (cracked abdomen), lepidopteran is larva, small unidentified orange “worm” – probably dipteran larva
DIMBBR16042025_2,Hunter Diment,BBR_2,BBR,2,16/04/25,09:50,21/04/25,09:55,120.083333333333,"Blackbutt Reserve, Blackbutt",-34.569905,150.8500706,WGS84 (Google Maps),E. globoidea,170,cloudy,10.1,11.8,0,3,2,0,0,0,0,0,0,0,0,0,hemipteran exuvia,,
DIMBBR16042025_3,Hunter Diment,BBR_3,BBR,3,16/04/25,10:35,21/04/25,10:30,119.916666666667,"Blackbutt Reserve, Blackbutt",-34.5677957,150.8492884,WGS84 (Google Maps),E. ampliflolia or tereticornis,30,sunny,7.7,7.4,0,0,3,0,0,0,0,0,0,0,0,0,,,
DIMBBR16042025_4,Hunter Diment,BBR_4,BBR,4,16/04/25,11:10,21/04/25,10:45,119.583333333333,"Blackbutt Reserve, Blackbutt",-34.5689956,150.8482497,WGS84 (Google Maps),E. ampliflolia or tereticornis,40,sunny,6.7,7.5,0,0,1,3,0,1,0,0,0,0,0,1,hemipteran exuvia, 1 unidentified insect larva (orange, legged)
DIMRGR16042025_1,Hunter Diment,RGR_1,RGR,1,16/04/25,13:00,21/04/25,11:45,118.75,"Rosella Grove, Blackbutt",-34.5670981,150.827996,WGS84 (Google Maps),E. globoidea,10,sunny,7,7.2,2,4,5,0,0,0,0,0,0,1,0,1,small unidentified orange “worm” – probably dipteran larva,,
DIMRGR16042025_2,Hunter Diment,RGR_2,RGR,2,16/04/25,13:45,21/04/25,11:35,117.833333333333,"Rosella Grove, Blackbutt",-34.5663466,150.8274341,WGS84 (Google Maps),E. tereticornis,30,sunny,7.2,10.4,0,5,0,4,0,0,0,0,0,0,1,1,"3 of apparently same ant species; 1 collembolan (considered non-insect here); in euc dataset, tree RGR-1-48",,
DIMPAP17042025_1,Hunter Diment,PAP_1,PAP,1,17/04/25,09:10,22/04/25,13:10,124,"Phil Adams Park, Corrimal",-34.3753391,150.906746,WGS84 (Google Maps),E. paniculata,320,cloudy,9.5,not recorded,0,2,1,14,1,0,0,0,0,1,0,0,>10 of same/similar hymenopteran sp.,,
DIMWMP17042025_1,Hunter Diment,WMP_1,WMP,1,17/04/25,11:15,22/04/25,10:15,118.999999999999,"Wiseman Park, Wollongong",-34.4180342,150.8842359,WGS84 (Google Maps),E. ampliflolia or tereticornis,350,sunny,not recorded,6,3,6,3,1,1,1,0,0,0,0,0,0,spider exuvia,,
DIMWMP17042025_2,Hunter Diment,WMP_2,WMP,2,17/04/25,10:10,22/04/25,10:00,119.833333333333,"Wiseman Park, Wollongong",-34.4187165,150.8826024,WGS84 (Google Maps),E. ampliflolia or tereticornis,200,sunny,not recorded,8.7,3,3,3,1,0,0,0,0,0,0,0,0,,,
DIMCSP17042025_1,Hunter Diment,CSP_1,CSP,1,17/04/25,12:40,22/04/25,11:00,118.333333333333,"Charles Stimson Park, Farmborough Heights",-34.4596991,150.8171911,WGS84 (Google Maps),E. ampliflolia or tereticornis,230,sunny,8.8,9.1,0,4,1,0,1,0,1,0,0,0,0,0,,,
DIMMCP17042025_1,Hunter Diment,MCP_1,MCP,1,17/04/25,13:35,22/04/25,11:45,118.166666666666,"McPhail Reserve, Kembla Grange",-34.4706953,150.7775635,WGS84 (Google Maps),E. ampliflolia or tereticornis,20,sunny,8.9,9.4,2,10,4,1,4,0,4,0,0,1,1,0,small red mite,,
DIMHGA18042025_1,Hunter Diment,HGA_1,HGA,1,18/04/25,09:35,23/04/25,09:25,119.833333333333,"Hargreaves Ave/Albion Park Airport, Albion Park",-34.561078,150.793769,WGS84 (Google Maps),E. saligna x botryoides,140,sunny,8,9,0,7,2,0,0,0,0,0,0,2,0,0,,,
DIMHGA18042025_2,Hunter Diment,HGA_2,HGA,2,18/04/25,10:20,23/04/25,09:15,118.916666666666,"Hargreaves Ave/Albion Park Airport, Albion Park",-34.5599057,150.7926023,WGS84 (Google Maps),E. globoidea,120,sunny,6.5,8.3,0,7,1,0,0,0,0,0,0,0,0,0,,,
DIMCRM18042025_1,Hunter Diment,CRM_1,CRM,1,18/04/25,11:25,23/04/25,09:55,118.5,"Croom Regional Sporting Complex, Croom",-34.574882,150.7895358,WGS84 (Google Maps),E. longifolia,100,sunny,6.3,8,0,4,3,0,0,0,0,0,0,0,0,2,Very small unidentified insect on wing of fly (unknown if associated or coincidentally on wing), small unidentified orange “worm” – probably dipteran larva,
DIMCRM18042025_2,Hunter Diment,CRM_2,CRM,2,18/04/25,12:10,23/04/25,10:15,118.083333333333,"Croom Regional Sporting Complex, Croom",-34.5754029,150.7906322,WGS84 (Google Maps),E. globoidea,50,sunny,6.4,9.6,1,6,1,2,1,0,1,0,0,1,0,0,,,
DIMCRM18042025_3,Hunter Diment,CRM_3,CRM,3,18/04/25,13:00,23/04/25,10:40,117.666666666667,"Croom Regional Sporting Complex, Croom",-34.5740303,150.790948,WGS84 (Google Maps),E. longifolia,150,sunny,6.3,7.4,0,14,1,1,0,0,0,0,0,2,0,0,,,
DIMCRM18042025_4,Hunter Diment,CRM_4,CRM,4,18/04/25,13:50,23/04/25,10:50,117,"Croom Regional Sporting Complex, Croom",-34.5747136,150.7919367,WGS84 (Google Maps),E. longifolia,90,sunny,5.6,6,2,8,0,0,0,0,0,0,2,0,0,0,trichopteran id tentative, potentially leptidopterans, hairy wings. One dipteran’s wing broke off when returned to vial
DIMALR08052025_1,Hunter Diment,ALR_1,ALR,1,08/05/25,10:15,12/05/25,09:15,95,"Albion Park Light Railway Museum Society, Albion Park Rail",-34.56814,150.79079,WGS84 (Google Maps),E. longifolia,50,cloudy,not recorded,9,0,16,0,1,0,0,0,0,0,1,0,3,3 unidentified, too incomplete to ID,
DIMALR08052025_1,Hunter Diment,ALR_2,ALR,2,08/05/25,10:50,12/05/25,09:25,94.5833333333328,"Albion Park Light Railway Museum Society, Albion Park Rail",-34.56707,150.79166,WGS84 (Google Maps),E. globoidea,30,cloudy,not recorded,8.4,0,16,0,1,0,0,0,0,0,0,0,1,1 dipteran bearing eggs, 1 disembodied head and leg (unidentified, possibly hymenoptera)
DIMALR08052025_1,Hunter Diment,ALR_3,ALR,3,08/05/25,11:20,12/05/25,09:45,94.4166666666667,"Albion Park Light Railway Museum Society, Albion Park Rail",-34.5676715,150.793022,WGS84 (Google Maps),E. globoidea,170,cloudy,not recorded,7.5,1,9,0,2,0,0,0,0,0,0,0,1,small unidentified orange “worm” – probably dipteran larva,,
DIMALR08052025_1,Hunter Diment,ALR_4,ALR,4,08/05/25,12:00,12/05/25,09:35,93.5833333333333,"Albion Park Light Railway Museum Society, Albion Park Rail",-34.5665801,150.7933932,WGS84 (Google Maps),E. globoidea,140,cloudy,not recorded,9.3,2,19,1,2,0,0,0,1,0,0,0,0,,,
