Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,068228,1997,04,0.0,N
IDCJAC0001,068228,1997,05,113.2,N
IDCJAC0001,068228,1997,06,80.4,N
IDCJAC0001,068228,1997,07,48.2,N
IDCJAC0001,068228,1997,08,27.2,N
IDCJAC0001,068228,1997,09,98.8,N
IDCJAC0001,068228,1997,10,65.2,N
IDCJAC0001,068228,1997,11,31.6,N
IDCJAC0001,068228,1997,12,35.2,N
IDCJAC0001,068228,1998,01,24.8,N
IDCJAC0001,068228,1998,02,141.6,N
IDCJAC0001,068228,1998,03,40.4,N
IDCJAC0001,068228,1998,04,119.6,Y
IDCJAC0001,068228,1998,05,188.0,N
IDCJAC0001,068228,1998,06,141.8,N
IDCJAC0001,068228,1998,07,96.6,N
IDCJAC0001,068228,1998,08,682.0,N
IDCJAC0001,068228,1998,09,77.6,N
IDCJAC0001,068228,1998,10,14.0,N
IDCJAC0001,068228,1998,11,97.0,N
IDCJAC0001,068228,1998,12,33.6,N
IDCJAC0001,068228,1999,01,107.2,N
IDCJAC0001,068228,1999,02,141.4,N
IDCJAC0001,068228,1999,03,70.6,N
IDCJAC0001,068228,1999,04,137.4,N
IDCJAC0001,068228,1999,05,48.0,N
IDCJAC0001,068228,1999,06,71.8,N
IDCJAC0001,068228,1999,07,204.4,N
IDCJAC0001,068228,1999,08,32.8,N
IDCJAC0001,068228,1999,09,17.4,N
IDCJAC0001,068228,1999,10,181.0,N
IDCJAC0001,068228,1999,11,41.0,N
IDCJAC0001,068228,1999,12,39.8,N
IDCJAC0001,068228,2000,01,30.2,N
IDCJAC0001,068228,2000,02,18.4,N
IDCJAC0001,068228,2000,03,159.2,N
IDCJAC0001,068228,2000,04,34.2,N
IDCJAC0001,068228,2000,05,34.4,N
IDCJAC0001,068228,2000,06,41.0,N
IDCJAC0001,068228,2000,07,64.0,N
IDCJAC0001,068228,2000,08,63.4,N
IDCJAC0001,068228,2000,09,36.0,N
IDCJAC0001,068228,2000,10,87.8,N
IDCJAC0001,068228,2000,11,160.8,N
IDCJAC0001,068228,2000,12,40.6,N
IDCJAC0001,068228,2001,01,57.4,N
IDCJAC0001,068228,2001,02,88.0,N
IDCJAC0001,068228,2001,03,129.8,N
IDCJAC0001,068228,2001,04,67.4,N
IDCJAC0001,068228,2001,05,113.4,N
IDCJAC0001,068228,2001,06,35.6,N
IDCJAC0001,068228,2001,07,177.6,N
IDCJAC0001,068228,2001,08,71.4,N
IDCJAC0001,068228,2001,09,19.6,N
IDCJAC0001,068228,2001,10,32.0,N
IDCJAC0001,068228,2001,11,88.4,N
IDCJAC0001,068228,2001,12,52.6,N
IDCJAC0001,068228,2002,01,54.6,N
IDCJAC0001,068228,2002,02,293.0,N
